Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170830;23;19300;19047,150
20170830;24;17800;17699,700
20170831;1;16800;16491,463
20170831;2;16200;15964,250
20170831;3;15700;15618,988
20170831;4;15800;15577,038
20170831;5;16000;15799,350
20170831;6;16400;16039,050
20170831;7;19100;17768,513
20170831;8;20800;19915,038
20170831;9;21600;21144,375
20170831;10;21900;21751,413
20170831;11;22200;21966,563
20170831;12;22500;22590,913
20170831;13;22700;22812,725
20170831;14;22700;22719,063
20170831;15;22400;22310,438
20170831;16;22100;22201,288
20170831;17;21600;21863,988
20170831;18;21200;21389,375
20170831;19;21000;21059,300
20170831;20;21900;21853,150
20170831;21;22400;22702,375
20170831;22;21100;21124,863
20170831;23;19400;19306,013
20170831;24;17900;17952,625
